股票名, 代码, 时间戳, 上市时间
SZ300689, 澄天伟业, 1502208000, 2017-08-09 00:00:00
SZ300688, 创业黑马, 1502294400, 2017-08-10 00:00:00
SZ300690, 双一科技, 1502121600, 2017-08-08 00:00:00
SH603458, 勘设股份, 1502208000, 2017-08-09 00:00:00
SZ300683, 海特生物, 1502121600, 2017-08-08 00:00:00
SH603602, 纵横通信, 1502294400, 2017-08-10 00:00:00
SH603535, 嘉诚国际, 1502121600, 2017-08-08 00:00:00
SZ300686, 智动力, 1501776000, 2017-08-04 00:00:00
SH603978, 深圳新星, 1502035200, 2017-08-07 00:00:00
SH603880, 南卫股份, 1502035200, 2017-08-07 00:00:00
SZ300687, 赛意信息, 1501689600, 2017-08-03 00:00:00
SZ300685, 艾德生物, 1501603200, 2017-08-02 00:00:00
SZ002890, 弘宇股份, 1501603200, 2017-08-02 00:00:00
SH603860, 中公高科, 1501603200, 2017-08-02 00:00:00
SH603825, 华扬联众, 1501603200, 2017-08-02 00:00:00
SZ300682, 朗新科技, 1501516800, 2017-08-01 00:00:00
SZ002887, 绿茵生态, 1501516800, 2017-08-01 00:00:00
SH603357, 设计总院, 1501516800, 2017-08-01 00:00:00
SZ300679, 电连技术, 1501430400, 2017-07-31 00:00:00
SH603233, 大参林, 1501430400, 2017-07-31 00:00:00
SZ002889, 东方嘉盛, 1501430400, 2017-07-31 00:00:00
SH603730, 岱美股份, 1501171200, 2017-07-28 00:00:00
SH603063, 禾望电气, 1501171200, 2017-07-28 00:00:00
SZ300681, 英搏尔, 1500912000, 2017-07-25 00:00:00
SZ300680, 隆盛科技, 1500912000, 2017-07-25 00:00:00
SZ300678, 中科信息, 1501171200, 2017-07-28 00:00:00
SZ300677, 英科医疗, 1500566400, 2017-07-21 00:00:00
SZ002888, 惠威科技, 1500566400, 2017-07-21 00:00:00
SH603676, 卫信康, 1500566400, 2017-07-21 00:00:00
SH601619, 嘉泽新能, 1500480000, 2017-07-20 00:00:00
SH603707, 健友股份, 1500393600, 2017-07-19 00:00:00
SH603612, 索通发展, 1500307200, 2017-07-18 00:00:00
SZ300676, 华大基因, 1499961600, 2017-07-14 00:00:00
SZ300675, 建科院, 1500393600, 2017-07-19 00:00:00
SH603387, 基蛋生物, 1500220800, 2017-07-17 00:00:00
SZ300673, 佩蒂股份, 1499702400, 2017-07-11 00:00:00
SH603595, 东尼电子, 1499788800, 2017-07-12 00:00:00
SZ002884, 凌霄泵业, 1499702400, 2017-07-11 00:00:00
SH603757, 大元泵业, 1499702400, 2017-07-11 00:00:00
SZ300672, 国科微, 1499788800, 2017-07-12 00:00:00
SH603305, 旭升股份, 1499616000, 2017-07-10 00:00:00
SH603933, 睿能科技, 1499270400, 2017-07-06 00:00:00
SZ300671, 富满电子, 1499184000, 2017-07-05 00:00:00
SH603331, 百达精工, 1499184000, 2017-07-05 00:00:00
SZ300670, 大烨智能, 1499011200, 2017-07-03 00:00:00
SH603617, 君禾股份, 1499011200, 2017-07-03 00:00:00
SH603801, 志邦股份, 1498752000, 2017-06-30 00:00:00
SZ300669, 沪宁股份, 1498665600, 2017-06-29 00:00:00
SH603938, 三孚股份, 1498579200, 2017-06-28 00:00:00
SZ002885, 京泉华, 1498492800, 2017-06-27 00:00:00
SH603286, 日盈电子, 1498492800, 2017-06-27 00:00:00
SH603043, 广州酒家, 1498492800, 2017-06-27 00:00:00
SZ002886, 沃特股份, 1498492800, 2017-06-27 00:00:00
SZ002882, 金龙羽, 1500220800, 2017-07-17 00:00:00
SH601878, 浙商证券, 1498406400, 2017-06-26 00:00:00
SH603380, 易德龙, 1498060800, 2017-06-22 00:00:00
SZ002881, 美格智能, 1498060800, 2017-06-22 00:00:00
SH603679, 华体科技, 1497974400, 2017-06-21 00:00:00
SH603335, 迪生力, 1497888000, 2017-06-20 00:00:00
SZ002883, 中设股份, 1497888000, 2017-06-20 00:00:00
SZ300667, 必创科技, 1497801600, 2017-06-19 00:00:00
SH603316, 诚邦股份, 1497801600, 2017-06-19 00:00:00
SZ300668, 杰恩设计, 1497801600, 2017-06-19 00:00:00
SZ300666, 江丰电子, 1497456000, 2017-06-15 00:00:00
SH603980, 吉华集团, 1497456000, 2017-06-15 00:00:00
SH603226, 菲林格尔, 1497456000, 2017-06-15 00:00:00
SZ002880, 卫光生物, 1497542400, 2017-06-16 00:00:00
SH603879, 永悦科技, 1497369600, 2017-06-14 00:00:00
SH603536, 惠发股份, 1497283200, 2017-06-13 00:00:00
SH603767, 中马传动, 1497283200, 2017-06-13 00:00:00
SZ002879, 长缆科技, 1499356800, 2017-07-07 00:00:00
SZ300665, 飞鹿股份, 1497283200, 2017-06-13 00:00:00
SZ300662, 科锐国际, 1496851200, 2017-06-08 00:00:00
SZ300663, 科蓝软件, 1496851200, 2017-06-08 00:00:00
SH603496, 恒为科技, 1496764800, 2017-06-07 00:00:00
SZ002877, 智能自控, 1496592000, 2017-06-05 00:00:00
SZ300661, 圣邦股份, 1496678400, 2017-06-06 00:00:00
SH603042, 华脉科技, 1496332800, 2017-06-02 00:00:00
SZ002878, 元隆雅图, 1496678400, 2017-06-06 00:00:00
SZ300660, 江苏雷利, 1496332800, 2017-06-02 00:00:00
SH603200, 上海洗霸, 1496246400, 2017-06-01 00:00:00
SH603326, 我乐家居, 1497542400, 2017-06-16 00:00:00
SZ002875, 安奈儿, 1496246400, 2017-06-01 00:00:00
SH603196, 日播时尚, 1496160000, 2017-05-31 00:00:00
SZ300658, 延江股份, 1496332800, 2017-06-02 00:00:00
SZ300659, 中孚信息, 1495728000, 2017-05-26 00:00:00
SZ002876, 三利谱, 1495641600, 2017-05-25 00:00:00
SH603580, 艾艾精工, 1495641600, 2017-05-25 00:00:00
SH603855, 华荣股份, 1495555200, 2017-05-24 00:00:00
SZ300657, 弘信电子, 1495468800, 2017-05-23 00:00:00
SZ300655, 晶瑞股份, 1495468800, 2017-05-23 00:00:00
SH603383, 顶点软件, 1495382400, 2017-05-22 00:00:00
SZ002872, 天圣制药, 1495123200, 2017-05-19 00:00:00
SH603197, 保隆科技, 1495123200, 2017-05-19 00:00:00
SZ300656, 民德电子, 1495123200, 2017-05-19 00:00:00
SZ002873, 新天药业, 1495123200, 2017-05-19 00:00:00
SH603269, 海鸥股份, 1494950400, 2017-05-17 00:00:00
SH603758, 秦安股份, 1494950400, 2017-05-17 00:00:00
SZ300652, 雷迪克, 1494864000, 2017-05-16 00:00:00
SH603488, 展鹏科技, 1494864000, 2017-05-16 00:00:00
SZ002870, 香山股份, 1494777600, 2017-05-15 00:00:00
SH601952, 苏垦农发, 1494777600, 2017-05-15 00:00:00
SZ300653, 正海生物, 1494864000, 2017-05-16 00:00:00
SH603180, 金牌厨柜, 1494518400, 2017-05-12 00:00:00
SZ002869, 金溢科技, 1494777600, 2017-05-15 00:00:00
SZ002871, 伟隆股份, 1494432000, 2017-05-11 00:00:00
SH603086, 先达股份, 1494432000, 2017-05-11 00:00:00
SH603113, 金能科技, 1494432000, 2017-05-11 00:00:00
SH603896, 寿仙谷, 1494345600, 2017-05-10 00:00:00
SH603926, 铁流股份, 1494345600, 2017-05-10 00:00:00
SH603229, 奥翔药业, 1494259200, 2017-05-09 00:00:00
SH603728, 鸣志电器, 1494259200, 2017-05-09 00:00:00
SH603985, 恒润股份, 1493913600, 2017-05-05 00:00:00
SZ300649, 杭州园林, 1493913600, 2017-05-05 00:00:00
SZ300651, 金陵体育, 1494259200, 2017-05-09 00:00:00
SH603501, 韦尔股份, 1493827200, 2017-05-04 00:00:00
SZ300643, 万通智控, 1493913600, 2017-05-05 00:00:00
SZ300650, 太龙照明, 1493740800, 2017-05-03 00:00:00
SH603505, 金石资源, 1493740800, 2017-05-03 00:00:00
SZ002868, 绿康生化, 1493740800, 2017-05-03 00:00:00
SZ300647, 超频三, 1493740800, 2017-05-03 00:00:00
SH603320, 迪贝电气, 1493654400, 2017-05-02 00:00:00
SZ002867, 周大生, 1493222400, 2017-04-27 00:00:00
SH603787, 新日股份, 1493222400, 2017-04-27 00:00:00
SZ002866, 传艺科技, 1493136000, 2017-04-26 00:00:00
SZ300514, 友讯达, 1493136000, 2017-04-26 00:00:00
SH603096, 新经典, 1493049600, 2017-04-25 00:00:00
SH603920, 世运电路, 1493136000, 2017-04-26 00:00:00
SZ002865, 钧达股份, 1493049600, 2017-04-25 00:00:00
SZ300648, 星云股份, 1493049600, 2017-04-25 00:00:00
SZ300642, 透景生命, 1492704000, 2017-04-21 00:00:00
SZ300645, 正元智慧, 1492704000, 2017-04-21 00:00:00
SH603232, 格尔软件, 1492704000, 2017-04-21 00:00:00
SZ300554, 三超新材, 1492704000, 2017-04-21 00:00:00
SH603081, 大丰实业, 1492617600, 2017-04-20 00:00:00
SH603139, 康惠制药, 1492704000, 2017-04-21 00:00:00
SH603225, 新凤鸣, 1492444800, 2017-04-18 00:00:00
SH603803, 瑞斯康达, 1492617600, 2017-04-20 00:00:00
SZ002863, 今飞凯达, 1492444800, 2017-04-18 00:00:00
SZ300641, 正丹股份, 1492444800, 2017-04-18 00:00:00
SZ300604, 长川科技, 1492358400, 2017-04-17 00:00:00
SZ300640, 德艺文创, 1492358400, 2017-04-17 00:00:00
SH603050, 科林电气, 1492099200, 2017-04-14 00:00:00
SH603826, 坤彩科技, 1492099200, 2017-04-14 00:00:00
SZ002861, 瀛通通讯, 1492012800, 2017-04-13 00:00:00
SH603797, 联泰环保, 1492012800, 2017-04-13 00:00:00
SZ300637, 扬帆新材, 1491926400, 2017-04-12 00:00:00
SZ300639, 凯普生物, 1491926400, 2017-04-12 00:00:00
SH601366, 利群股份, 1491926400, 2017-04-12 00:00:00
SZ002860, 星帅尔, 1491926400, 2017-04-12 00:00:00
SZ002862, 实丰文化, 1491840000, 2017-04-11 00:00:00
SH603078, 江化微, 1491753600, 2017-04-10 00:00:00
SZ300638, 广和通, 1492012800, 2017-04-13 00:00:00
SH603538, 美诺华, 1491494400, 2017-04-07 00:00:00
SZ300632, 光莆股份, 1491408000, 2017-04-06 00:00:00
SZ300633, 开立医疗, 1491408000, 2017-04-06 00:00:00
SH603586, 金麒麟, 1491408000, 2017-04-06 00:00:00
SH603906, 龙蟠科技, 1491753600, 2017-04-10 00:00:00
SZ300635, 达安股份, 1490889600, 2017-03-31 00:00:00
SH603385, 惠达卫浴, 1491321600, 2017-04-05 00:00:00
SZ002859, 洁美科技, 1491494400, 2017-04-07 00:00:00
SZ300636, 同和药业, 1490889600, 2017-03-31 00:00:00
SH603041, 美思德, 1490803200, 2017-03-30 00:00:00
SH603303, 得邦照明, 1490803200, 2017-03-30 00:00:00
SH601228, 广州港, 1490716800, 2017-03-29 00:00:00
SH603178, 圣龙股份, 1490630400, 2017-03-28 00:00:00
SH603833, 欧派家居, 1490630400, 2017-03-28 00:00:00
SH603717, 天域生态, 1490544000, 2017-03-27 00:00:00
SZ002774, 快意电梯, 1490284800, 2017-03-24 00:00:00
SZ002858, 力盛赛车, 1490284800, 2017-03-24 00:00:00
SH603388, 元成股份, 1490284800, 2017-03-24 00:00:00
SH603768, 常青股份, 1490284800, 2017-03-24 00:00:00
SZ300630, 普利制药, 1490630400, 2017-03-28 00:00:00
SZ300629, 新劲刚, 1490284800, 2017-03-24 00:00:00
SZ300631, 久吾高科, 1490198400, 2017-03-23 00:00:00
SZ002857, 三晖电气, 1490198400, 2017-03-23 00:00:00
SZ300627, 华测导航, 1490025600, 2017-03-21 00:00:00
SH603656, 泰禾光电, 1490025600, 2017-03-21 00:00:00
SZ300626, 华瑞股份, 1489939200, 2017-03-20 00:00:00
SH603133, 碳元科技, 1489939200, 2017-03-20 00:00:00
SZ002855, 捷荣技术, 1490025600, 2017-03-21 00:00:00
SZ002856, 美芝股份, 1489939200, 2017-03-20 00:00:00
SH603179, 新泉股份, 1489680000, 2017-03-17 00:00:00
SH603517, 绝味食品, 1489680000, 2017-03-17 00:00:00
SZ300625, 三雄极光, 1489680000, 2017-03-17 00:00:00
SZ300628, 亿联网络, 1489680000, 2017-03-17 00:00:00
SH603811, 诚意药业, 1489507200, 2017-03-15 00:00:00
SZ300621, 维业股份, 1489593600, 2017-03-16 00:00:00
SZ300623, 捷捷微电, 1489420800, 2017-03-14 00:00:00
